,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
48,2NJiZQdgZKmejmp7ivSuwD,Henrietta,Fragrant World,Yeasayer,278520,2012-08-21,0.132,0.385,0.908,0.354,3,0.156,-5.318,1,0.0774,83.868,4,0.169,0,0
49,0bxcQIRWAfqcpCts8PwfxL,Mute,Wondrous Bughouse,Youth Lagoon,358560,2013-03-05,9.34e-05,0.152,0.767,0.813,8,0.634,-6.482,1,0.0396,142.094,4,0.437,0,0
50,6SgHlKcfkRQ6XohmDR1ugQ,You & I,Hummingbird,Local Natives,261760,2013-01-29,0.545,0.442,0.866,0.595,2,0.0976,-7.916,0,0.0567,94.97,4,0.32,33,0
51,4Z3AWw4h79NCs1HPYTq9Ht,Happy,Just Movement,Robert DeLong,256226,2013-03-01,0.113,0.601,0.93,0.000239,0,0.18,-3.748,1,0.0965,100.005,4,0.525,0,0
52,1NyTUDcWBYPCUxeY3UKbpD,Stoned and Starving,Light Up Gold,Parquet Courts,311680,2013-04-15,0.252,0.234,0.882,0.88,5,0.117,-7.427,1,0.0566,169.724,4,0.277,0,0
53,7fco9ocFesu9I09AMmpWkW,Waking Up,Oblivion - Original Motion Picture Soundtrack,M83,249316,2013-04-08,0.543,0.405,0.504,0.87,0,0.152,-13.048,0,0.0374,95.518,4,0.154,0,0
54,6Y0hydJe6ILZTkkDqg5K1P,Dark Again,Black Sun,Gold Fields,280439,2013-01-01,5.97e-05,0.605,0.885,0.000124,11,0.102,-5.173,1,0.0364,125.995,4,0.514,23,0
55,5RTQqFaa0ahgNfrlLGyPle,How Do You Do?,In Our Heads,Hot Chip,285320,2012-06-11,0.0998,0.666,0.811,0.0614,11,0.0588,-5.079,0,0.0357,124.954,4,0.955,0,0
56,55C8Zut2Ug8wPNrU4OJYPd,Ride On / Right On,Muchacho,Phosphorescent,224906,2013-03-15,0.00808,0.539,0.581,0.0589,7,0.15,-7.423,1,0.0316,95.075,4,0.237,0,0
57,0HghBCFG6S68Yr5Kf8K3sg,Do Not Claim Them Anymore,Rats,Balthazar,237740,2012-10-15,0.293,0.8,0.536,0.154,4,0.104,-10.354,0,0.0453,99.987,4,0.539,0,0
58,6IBGolYyj0q2NM1iARxEiS,Lost That Easy,Dear Miss Lonelyhearts,Cold War Kids,204053,2013-04-02,0.205,0.426,0.696,0.000167,0,0.0807,-5.28,1,0.0597,177.961,4,0.281,0,0
59,4soW0sDCEtDnDbJNrMrR2I,Cheap Beer,FIDLAR,FIDLAR,143813,2013-01-22,0.000169,0.281,0.952,0.0,9,0.406,-4.173,1,0.0583,186.155,4,0.199,0,0
60,6GN5zYolF7fqhb1w0ujqj5,Miracle,The Temper Trap,The Temper Trap,224013,2012-05-21,0.373,0.564,0.52,0.0535,7,0.551,-12.912,0,0.0628,130.02,4,0.19,0,0
61,0lOLZBRpdxcYJlWl8zdEKo,The Chills,Late Night Tales: Groove Armada,Groove Armada,230160,2008,0.109,0.618,0.866,0.403,3,0.373,-7.122,1,0.0448,90.376,4,0.655,0,0
62,28FWDsQEZztRbVVXm2EEit,How They Want Me To Be,The Only Place (Deluxe Edition),Best Coast,232473,2012-05-15,0.546,0.529,0.52,0.00129,11,0.139,-8.383,1,0.0252,106.3,4,0.319,0,0
63,6IWVnFyOASOICJWQeMt8TZ,Lonesome Dreams,Lonesome Dreams,Lord Huron,255573,2012-10-09,0.861,0.548,0.786,0.0197,5,0.261,-7.421,1,0.0284,140.352,4,0.489,0,0
